"Figure 1. Trends in April Snowpack in the Western United States, 1955-2022",,,
Source: EPA's Climate Change Indicators in the United States: www.epa.gov/climate-indicators,,,
"Data source: USDA Natural Resources Conservation Service, 2022",,,
Web update: July 2022,,,
Units: degrees; degrees; percent change,,,
,,,
State,Latitude,Longitude,Trend (%)
AZ,34,-109.51667,-33.42041983
CA,41.23483,-120.79467,-23.36720177
CA,41.23583,-120.79192,-29.42908833
CA,37.724,-119.143,-6.612155995
CA,38.503,-120.467,-34.59857109
CA,39.842,-122.95,-35.46134166
CA,41.4,-122.05,-17.83203732
CA,36.122,-118.293,9.040946057
CA,40.967,-122.867,-33.87252156
CA,38.618,-120.228,-17.70831159
CA,37.113,-118.837,-5.040779591
CA,37.995,-119.78,-25.12680614
CA,38.167,-119.942,-22.9763203
CA,41.077,-122.938,-58.17431618
CA,36.715,-118.842,-10.7713553
CA,37.127,-118.47,-36.03616625
CA,37.128,-118.475,-10.95122342
CA,36.44,-118.255,-18.62463358
CA,36.615,-118.377,-7.468896313
CA,37.123,-118.545,-4.398748687
CA,37.1,-118.557,-8.646212541
CA,37.067,-118.77,-6.315512244
CA,40.762,-121.195,-24.72862228
CA,38.6,-119.91667,-13.71770716
CA,38.608,-119.92437,-22.78164474
CA,38.18333,-119.61667,-4.727813127
CA,36.038,-118.328,7.7603163
CA,39.458,-120.6,-12.12057881
CA,41.435,-122.1,-31.73881876
CA,39.9,-121.257,-40.53579206
CA,36.77,-118.398,-8.796443564
CA,38.71,-120.042,-16.12145831
CA,36.198,-118.272,14.88271321
CA,39.353,-120.353,-25.5051972
CA,41.58233,-120.3025,-15.72803281
CA,41.58245,-120.30202,-23.16547728
CA,36.77,-118.415,-6.527959591
CA,40.283,-121.25,-76.00735704
CA,37.408,-119.48,-13.48497129
CA,37.41,-119.49,-0.273014356
CA,37.498,-119.408,-7.686559322
CA,39.682,-120.623,-29.00171239
CA,39.303,-120.543,-20.9565002
CA,37.528,-119.275,-13.96289796
CA,37.178,-118.72,-12.06840557
CA,37.598,-119.267,6.15379776
CA,38.625,-120.218,-17.93905768
CA,36.483,-118.177,-15.11621117
CA,36.45,-118.217,-3.902401918
CA,37.208,-119.073,-14.65146776
CA,36.564,-118.348,-10.18163235
CA,39.32565,-120.36807,5.222782956
CA,37.897,-119.257,-4.753141127
CA,41.208,-121.775,13.10430665
CA,35.873,-118.587,-30.85810181
CA,41.318,-122.503,-32.12674873
CA,39.31,-120.338,-28.51891642
CA,37.258,-118.997,-14.99627341
CA,38.288,-119.832,-9.818963148
CA,37.235,-118.687,17.00771707
CA,38.828,-120.037,-38.73476635
CA,37.938,-119.248,4.236222561
CA,37.183,-118.762,-16.67667221
CA,39.436,-120.525,-12.34445341
CA,41.4,-123.001,-56.44259498
CA,39.755,-120.72,-22.89610746
CA,39.762,-120.713,-36.18776945
CA,36.415,-118.579,2.474376618
CA,40.355,-121.422,-30.34722436
CA,39.47,-120.572,-7.528677957
CA,37.277,-118.962,-36.75005303
CA,37.023,-119.08,-22.89553783
CA,38.86755,-119.95652,-31.59496109
CA,39.355,-120.503,-19.14679118
CA,37.752,-119.162,-20.16312358
CA,37.78,-119.17,-0.722669082
CA,36.57,-118.768,-24.91701279
CA,39.725,-120.932,-31.65179171
CA,37.765,-119.773,-18.18008971
CA,41.217,-122.417,-22.76700791
CA,36.523,-118.348,-12.12784294
CA,38.8519,-119.9374,-26.23285889
CA,38.543,-120.377,-35.87958699
CA,40.418,-121.275,-28.06118374
CA,37.272,-118.877,-15.08817184
CA,37.122,-119.005,1.584960832
CA,38.242,-119.942,-13.05463816
CA,41.093,-122.483,-33.81863121
CA,38.487,-119.806,-3.81613084
CA,36.382,-118.655,-5.936468857
CA,36.752,-118.75,-7.940102555
CA,38.158,-119.662,-9.844257134
CA,38.102,-119.745,-17.58699183
CA,37.228,-119.222,-2.808411628
CA,39.282,-120.527,-31.07057221
CA,38.812,-120.375,-22.01850052
CA,39.45269,-120.29367,-41.1019371
CA,39.49001,-120.28226,-45.73123922
CA,39.42752,-120.31342,2.574476606
CA,37.497,-119.33,19.76965081
CA,37.295,-119.102,-11.22766571
CA,38.82,-120.037,-22.70422594
CA,39.36,-120.5,-21.67523007
CA,38.85952,-120.11362,-13.08055454
CA,39.317,-120.642,-39.06609019
CA,39.857,-121.263,-31.4634709
CA,41.808,-122.195,-37.72010886
CA,37.13,-118.92,-8.74338458
CA,38.693,-119.998,-15.57780453
CA,38.033,-119.878,-28.0272375
CA,40.467,-121.508,-9.631754476
CA,38.243,-119.758,2.170221179
CA,37.62,-118.992,-20.00500912
CA,37.61,-119.033,-9.544913968
CA,39.417,-120.508,-11.69720237
CA,41.587,-121.613,-24.09401132
CA,41.217,-122.807,-29.24098588
CA,41.225,-122.811,-17.89105269
CA,39.942,-121.19,-32.09128718
CA,37.663,-119.017,-12.57820892
CA,36.437,-118.587,-16.24139414
CA,37.438,-118.773,-23.09613464
CA,40.243,-121.035,3.194154172
CA,40.258,-121.047,-5.368190293
CA,41.372,-122.23,-17.83712389
CA,40.293,-121.292,-58.63807487
CA,41.197,-122.523,-60.96717587
CA,37.257,-119.225,-6.457929955
CA,38.327,-119.912,-8.149191121
CA,41.305,-122.493,-23.96207828
CA,37.228,-118.62,4.468015021
CA,40.482,-121.007,-34.52370702
CA,36.243,-118.678,-17.90821443
CA,39.28333,-120.36667,-13.31334985
CA,37.637,-119.55,-5.638073856
CA,38.517,-119.9,-14.428607
CA,36.588,-118.717,-3.931113512
CA,38.047,-119.67,-13.44578816
CA,41.367,-122.55,-35.4202604
CA,37.667,-119.625,-29.175223
CA,38.818,-120.072,-25.97497577
CA,37.457,-118.795,-13.16716032
CA,39.725,-122.85,-46.62976704
CA,37.397,-119.518,-5.451467124
CA,37.122,-118.895,-9.415921645
CA,36.122,-118.545,-32.94502607
CA,36.328,-118.573,-7.435658768
CA,37.837,-119.325,7.190918909
CA,36.352,-118.265,-7.994601871
CA,39.343,-120.508,-12.79338441
CA,41.023,-122.885,-31.5817854
CA,38.28,-119.73,-8.946905638
CA,38.92025,-120.03953,-35.69278641
CA,36.497,-118.333,-11.48539368
CA,37.492,-118.717,-9.464901205
CA,37.473,-118.717,-12.53834401
CA,37.45,-118.742,-39.91050684
CA,37.32,-118.872,-14.50955403
CA,36.993,-118.902,-10.19768202
CA,35.965,-118.36,-8.997002377
CA,36.717,-118.737,-8.225326786
CA,40.01667,-120.3,-25.13149605
CA,38.99927,-120.13139,-24.51481984
CA,39.001,-120.14,0.351979239
CA,38.085,-119.837,-16.33358
CA,37.957,-119.267,-6.184137549
CA,41.353,-122.247,-22.60252377
CA,36.572,-118.367,-8.655970658
CA,37.162,-118.563,-11.66370634
CA,41.008,-122.8,-34.37235639
CA,36.473,-118.267,-13.21087185
CA,38.678,-120.118,-30.91959134
CA,40.5,-121.15,-33.70567335
CA,41.045,-122.478,-44.84081093
CA,37.827,-119.497,-5.632204261
CA,38.313,-119.607,-9.359650659
CA,38.092,-119.758,-17.20390964
CA,39.18118,-120.2503,-22.40220017
CA,36.943,-118.913,-6.639304167
CA,41.17,-121.938,-39.18851984
CA,41.397,-122.993,-54.19840326
CA,41.382,-122.535,-21.75113359
CA,38.803,-120.103,-11.10890902
CA,37.838,-119.448,-9.240757837
CA,40.71,-121.577,-27.6833149
CA,39.973,-121.213,-28.89981055
CA,37.917,-119.253,3.759878202
CA,38.88285,-119.97765,-54.38955862
CA,37.873,-119.35,-0.988124908
CA,36.632,-118.392,-1.921302354
CA,37.184,-118.938,-7.025170666
CA,38.695,-119.983,-17.40454391
CA,38.043,-119.887,-18.52402296
CA,38.017,-119.717,-19.1773667
CA,37.388,-118.903,-10.42911664
CA,39.142,-120.225,-39.85288513
CA,40.387,-121.31,-34.35952824
CA,39.485,-120.425,-3.102861375
CA,39.483,-120.44,-18.52215993
CA,41.15,-122.45,-50.1367794
CA,38.518,-119.985,-0.582879957
CA,38.26355,-119.45635,-19.80161413
CA,38.083,-119.633,-7.803347751
CA,41.2,-122.833,-25.52597366
CA,37.025,-118.908,-10.00489533
CA,39.617,-120.492,-15.32892536
CO,39.78333,-105.78333,-12.08627985
CO,39.83333,-105.75,3.365783178
CO,40.61667,-105.81667,139.574417
CO,40.01667,-105.56667,-14.19443251
CO,39.87505,-107.59853,-36.60732724
CO,40.51667,-105.56667,-22.28469498
CO,37.65083,-107.80602,-44.55192603
CO,40.61667,-105.83333,-41.95766481
CO,38.16667,-106.6,-18.11401884
CO,40.3948,-106.60408,-14.40036415
CO,40.4,-106.6,-29.38477402
CO,40.2,-105.56667,-8.489425997
CO,38.88333,-107,-13.50336717
CO,37.01667,-106.45,34.02770837
CO,40.80571,-105.76993,1.295096927
CO,40.8,-105.76667,-21.83546939
CO,40.4,-105.63333,-11.29014097
CO,40.53397,-106.7813,-18.39525401
CO,40.84781,-106.96871,-18.09505678
CO,39.37991,-106.19681,2.149647286
CO,39.51667,-105.71667,-23.55342814
CO,40.08333,-106.55,-1.83804817
CO,40.15,-106,15.35009413
CO,40.4,-105.65,-36.98061653
CO,39.36127,-106.05978,6.068203491
CO,40.58333,-105.63333,-1.67361279
CO,39.07539,-106.61169,-15.0574635
CO,39.06667,-106.61667,-34.19508008
CO,37.96667,-107.66667,-12.74464145
CO,39.29202,-106.54923,10.72624524
CO,37.6,-105.2,-5.357746302
CO,37.98333,-107.25,-23.70074011
CO,40.41667,-105.81667,-31.78038707
CO,40.41432,-105.8198,-15.41739266
CO,39.88837,-105.89031,-19.3591331
CO,37.37929,-106.54835,-38.67074728
CO,40.26667,-105.58333,-5.84698806
CO,40.07806,-106.67028,-31.79905833
CO,40.78333,-105.93333,-12.71248947
CO,39.05,-108.08333,-3.577619547
CO,39.78333,-106.01667,0.005086793
CO,40.4,-105.83333,-23.52660456
CO,37.74932,-107.68866,-17.57867461
CO,38.51667,-106.33333,-12.07509912
CO,39.3,-106.6,-19.20529155
CO,39.29722,-106.60694,-16.53546182
CO,40.03523,-105.54426,-25.19479735
CO,40.28333,-105.76667,-35.00500771
CO,39.07813,-107.14389,-16.8375826
CO,38.81996,-106.58974,-9.693448688
CO,38.81667,-106.58333,-19.69295924
CO,40.36667,-106.1,-19.50633465
CO,40.39937,-105.84757,2.879904146
CO,37.35,-106.55,-26.50814193
CO,37.8,-106.8,-35.87063601
CO,37.85,-107.16667,-39.95434056
CO,38.48333,-106.33333,-13.90547166
CO,38.48884,-106.33965,-3.073341471
CO,40.36783,-106.74038,-18.5496423
CO,40.81666,-105.65,-9.101333302
CO,40.03333,-107.28333,-38.66612173
CO,40.87502,-106.04603,-15.58009207
CO,37.81667,-107.11667,-45.86954645
CO,39.53333,-106.21667,-1.053969347
CO,37.38333,-106.4,-51.21607161
